sim,sampled_years,value_per_share
2591,"[2026, 2025, 2023, 2026, 2023]",4672.91
2592,"[2019, 2024, 2018, 2025, 2025]",2205.95
2593,"[2023, 2018, 2023, 2026, 2019]",3305.9
2594,"[2023, 2023, 2023, 2019, 2018]",3649.88
2595,"[2026, 2026, 2023, 2025, 2025]",3120.67
2596,"[2019, 2023, 2025, 2024, 2023]",3984.31
2597,"[2023, 2023, 2025, 2025, 2018]",3260.39
2598,"[2024, 2023, 2025, 2019, 2018]",2944.15
2599,"[2026, 2026, 2024, 2024, 2018]",3559.01
2600,"[2023, 2019, 2018, 2025, 2026]",2562.57
2601,"[2025, 2024, 2025, 2018, 2019]",2456.69
2602,"[2019, 2018, 2019, 2019, 2025]",2183.76
2603,"[2025, 2025, 2023, 2024, 2026]",2316.21
2604,"[2025, 2026, 2026, 2018, 2024]",3215.46
2605,"[2026, 2025, 2024, 2018, 2024]",3119.91
2606,"[2025, 2023, 2024, 2018, 2025]",2398.58
2607,"[2025, 2024, 2019, 2018, 2018]",2571.8
2608,"[2025, 2024, 2026, 2023, 2018]",2941.21
2609,"[2025, 2026, 2018, 2023, 2024]",3079.94
2610,"[2024, 2026, 2019, 2024, 2024]",3169.69
2611,"[2025, 2026, 2025, 2025, 2025]",2314.27
2612,"[2019, 2023, 2023, 2024, 2018]",3199.5
2613,"[2025, 2019, 2018, 2019, 2026]",2172.92
2614,"[2019, 2024, 2018, 2026, 2019]",2713.17
2615,"[2023, 2023, 2018, 2018, 2023]",4607.58
2616,"[2026, 2018, 2018, 2025, 2025]",2513.89
2617,"[2024, 2019, 2018, 2018, 2018]",2671.82
2618,"[2019, 2025, 2023, 2019, 2025]",2314.3
2619,"[2023, 2018, 2026, 2026, 2026]",2941.09
2620,"[2025, 2024, 2026, 2026, 2019]",2862.29
2621,"[2019, 2019, 2023, 2023, 2018]",2972.57
2622,"[2018, 2018, 2024, 2026, 2025]",2292.51
2623,"[2025, 2023, 2025, 2018, 2018]",2760.14
2624,"[2024, 2026, 2023, 2026, 2026]",2976.08
2625,"[2023, 2019, 2018, 2026, 2024]",3239.07
2626,"[2025, 2024, 2023, 2024, 2026]",2433.57
2627,"[2018, 2026, 2023, 2018, 2024]",3287.45
2628,"[2023, 2018, 2026, 2024, 2019]",3206.7
2629,"[2023, 2018, 2026, 2024, 2023]",4537.68
2630,"[2023, 2023, 2025, 2025, 2026]",2817.7
2631,"[2023, 2023, 2018, 2019, 2024]",3464.43
2632,"[2018, 2026, 2024, 2018, 2024]",3075.94
2633,"[2019, 2024, 2025, 2019, 2018]",2618.62
2634,"[2019, 2019, 2024, 2025, 2025]",2201.99
2635,"[2019, 2024, 2024, 2024, 2026]",2362.71
2636,"[2023, 2026, 2018, 2026, 2018]",3549.99
2637,"[2025, 2025, 2018, 2025, 2026]",2084.42
2638,"[2018, 2023, 2019, 2018, 2024]",2993.68
2639,"[2025, 2025, 2025, 2025, 2025]",1988.73
2640,"[2026, 2023, 2018, 2026, 2019]",3487.44
2641,"[2026, 2024, 2026, 2024, 2024]",3560.07
2642,"[2023, 2026, 2023, 2018, 2026]",3188.37
2643,"[2026, 2025, 2018, 2018, 2023]",4092.21
2644,"[2019, 2025, 2026, 2023, 2019]",2833.13
2645,"[2024, 2018, 2018, 2024, 2025]",2249.47
2646,"[2024, 2026, 2023, 2025, 2023]",4502.03
2647,"[2026, 2019, 2024, 2024, 2019]",3062.83
2648,"[2024, 2026, 2019, 2018, 2023]",4194.57
2649,"[2026, 2019, 2026, 2023, 2026]",3027.23
2650,"[2018, 2019, 2026, 2024, 2025]",2390.01
2651,"[2019, 2024, 2019, 2025, 2026]",2282.34
2652,"[2024, 2018, 2024, 2025, 2018]",2677.27
2653,"[2025, 2019, 2019, 2025, 2018]",2495.08
2654,"[2024, 2018, 2026, 2018, 2025]",2433.25
2655,"[2024, 2025, 2026, 2026, 2018]",2975.06
2656,"[2024, 2018, 2019, 2024, 2023]",3708.94
2657,"[2024, 2024, 2025, 2026, 2025]",2351.82
2658,"[2025, 2018, 2024, 2026, 2023]",3671.1
2659,"[2025, 2023, 2023, 2024, 2024]",3185.08
2660,"[2018, 2024, 2026, 2025, 2026]",2462.46
2661,"[2025, 2023, 2019, 2026, 2023]",4071.74
2662,"[2023, 2023, 2024, 2019, 2025]",2867.97
2663,"[2025, 2024, 2018, 2019, 2025]",2152.09
2664,"[2019, 2024, 2019, 2026, 2019]",2724.81
2665,"[2026, 2023, 2026, 2026, 2026]",3375.19
2666,"[2026, 2018, 2019, 2019, 2019]",2975.54
2667,"[2023, 2026, 2019, 2023, 2026]",3086.05
2668,"[2024, 2026, 2019, 2018, 2026]",2621.86
2669,"[2018, 2018, 2025, 2026, 2018]",2641.65
2670,"[2023, 2018, 2018, 2025, 2019]",2873.52
2671,"[2018, 2019, 2024, 2026, 2019]",2685.44
2672,"[2018, 2023, 2026, 2025, 2024]",3229.8
2673,"[2018, 2025, 2026, 2025, 2025]",2274.04
2674,"[2019, 2018, 2025, 2025, 2023]",3473.91
2675,"[2023, 2023, 2018, 2026, 2026]",3027.76
2676,"[2024, 2026, 2025, 2019, 2018]",2980.32
2677,"[2025, 2023, 2025, 2025, 2019]",2665.16
2678,"[2023, 2024, 2023, 2026, 2024]",3596.23
2679,"[2024, 2026, 2018, 2019, 2018]",3030.44
2680,"[2023, 2026, 2023, 2023, 2025]",3248.94
2681,"[2019, 2023, 2019, 2024, 2023]",4066.48
2682,"[2024, 2024, 2025, 2019, 2024]",2775.47
2683,"[2019, 2024, 2019, 2026, 2023]",3856.91
2684,"[2024, 2026, 2023, 2019, 2026]",2850.0
2685,"[2025, 2026, 2018, 2024, 2019]",2798.3
2686,"[2023, 2019, 2024, 2024, 2018]",3081.12
2687,"[2018, 2024, 2019, 2018, 2023]",3644.38
2688,"[2026, 2025, 2018, 2024, 2018]",2993.43
2689,"[2024, 2023, 2024, 2023, 2024]",3296.49
2690,"[2024, 2023, 2023, 2024, 2018]",3282.96
2691,"[2023, 2026, 2018, 2019, 2023]",4687.87
2692,"[2023, 2019, 2026, 2024, 2025]",2772.77
2693,"[2025, 2019, 2019, 2019, 2024]",2608.38
2694,"[2019, 2024, 2023, 2019, 2024]",2992.64
2695,"[2023, 2026, 2025, 2025, 2018]",3299.97
2696,"[2023, 2026, 2019, 2026, 2025]",2983.12
2697,"[2019, 2023, 2023, 2023, 2025]",2791.68
2698,"[2025, 2025, 2018, 2026, 2023]",3524.18
2699,"[2019, 2026, 2026, 2023, 2019]",3304.39
2700,"[2023, 2024, 2024, 2018, 2025]",2612.32
2701,"[2019, 2023, 2025, 2018, 2023]",3944.96
2702,"[2026, 2024, 2018, 2023, 2025]",2740.58
2703,"[2018, 2024, 2025, 2019, 2018]",2596.21
2704,"[2025, 2024, 2023, 2025, 2024]",2850.34
2705,"[2024, 2025, 2026, 2024, 2024]",2963.87
2706,"[2019, 2025, 2019, 2023, 2023]",3668.5
2707,"[2025, 2023, 2025, 2019, 2019]",2697.43
2708,"[2018, 2018, 2024, 2025, 2019]",2523.2
2709,"[2019, 2026, 2019, 2018, 2023]",4087.92
2710,"[2018, 2023, 2025, 2026, 2025]",2490.74
2711,"[2026, 2019, 2018, 2026, 2019]",3116.85
2712,"[2018, 2019, 2025, 2023, 2024]",2751.22
2713,"[2018, 2019, 2023, 2025, 2026]",2404.44
2714,"[2024, 2018, 2026, 2026, 2018]",3042.47
2715,"[2026, 2019, 2023, 2025, 2024]",3399.27
2716,"[2018, 2026, 2026, 2018, 2026]",2759.04
2717,"[2018, 2018, 2019, 2026, 2019]",2630.24
2718,"[2018, 2019, 2019, 2019, 2025]",2179.12
2719,"[2025, 2018, 2023, 2026, 2019]",2770.79
2720,"[2025, 2025, 2025, 2018, 2023]",3306.02
2721,"[2019, 2018, 2026, 2023, 2024]",3068.77
2722,"[2026, 2025, 2018, 2019, 2019]",2895.92
2723,"[2025, 2026, 2026, 2025, 2023]",4265.6
2724,"[2019, 2023, 2024, 2024, 2018]",2995.22
2725,"[2018, 2026, 2026, 2024, 2024]",3340.05
2726,"[2025, 2018, 2024, 2019, 2023]",3507.0
2727,"[2024, 2018, 2026, 2025, 2018]",2875.55
2728,"[2018, 2019, 2026, 2018, 2019]",2754.96
2729,"[2026, 2026, 2023, 2019, 2026]",3257.0
2730,"[2024, 2019, 2025, 2024, 2023]",3658.34
2731,"[2018, 2025, 2019, 2026, 2019]",2571.53
2732,"[2024, 2019, 2024, 2025, 2023]",3715.16
2733,"[2024, 2025, 2024, 2023, 2018]",2773.55
2734,"[2024, 2018, 2023, 2018, 2019]",2818.13
2735,"[2025, 2019, 2019, 2025, 2018]",2495.08
2736,"[2019, 2025, 2024, 2023, 2026]",2337.3
2737,"[2018, 2024, 2019, 2025, 2024]",2705.49
2738,"[2025, 2026, 2019, 2018, 2024]",2947.99
2739,"[2023, 2026, 2024, 2023, 2019]",3534.51
2740,"[2024, 2024, 2018, 2024, 2024]",2843.97
2741,"[2024, 2018, 2024, 2019, 2024]",2798.63
2742,"[2019, 2025, 2024, 2024, 2026]",2248.69
2743,"[2026, 2018, 2018, 2024, 2024]",3163.74
2744,"[2019, 2025, 2019, 2018, 2023]",3500.59
2745,"[2024, 2019, 2023, 2018, 2024]",3003.31
2746,"[2018, 2025, 2025, 2026, 2023]",3566.67
2747,"[2018, 2024, 2019, 2023, 2026]",2400.24
2748,"[2019, 2019, 2019, 2023, 2024]",2833.14
2749,"[2025, 2026, 2026, 2019, 2019]",3039.61
2750,"[2025, 2026, 2026, 2025, 2019]",3002.64
2751,"[2018, 2026, 2019, 2019, 2026]",2538.1
2752,"[2018, 2019, 2018, 2019, 2025]",2170.18
2753,"[2018, 2026, 2025, 2018, 2025]",2406.54
2754,"[2019, 2018, 2019, 2025, 2023]",3545.68
2755,"[2019, 2025, 2025, 2025, 2025]",2063.96
2756,"[2026, 2019, 2025, 2019, 2026]",2595.38
2757,"[2019, 2018, 2025, 2019, 2019]",2486.85
2758,"[2023, 2025, 2019, 2018, 2023]",4024.51
2759,"[2026, 2025, 2026, 2023, 2018]",3407.41
2760,"[2019, 2023, 2025, 2023, 2019]",2930.46
2761,"[2018, 2026, 2026, 2024, 2026]",2786.84
2762,"[2025, 2018, 2025, 2018, 2024]",2533.18
2763,"[2024, 2025, 2023, 2018, 2024]",2917.46
2764,"[2024, 2023, 2018, 2024, 2019]",2942.88
2765,"[2018, 2025, 2023, 2026, 2018]",2857.36
2766,"[2025, 2025, 2019, 2023, 2019]",2505.1
2767,"[2019, 2025, 2024, 2026, 2025]",2259.85
2768,"[2023, 2026, 2018, 2024, 2024]",3536.69
2769,"[2023, 2023, 2025, 2018, 2018]",3293.22
2770,"[2024, 2024, 2018, 2025, 2026]",2332.21
2771,"[2024, 2025, 2025, 2018, 2026]",2205.29
2772,"[2024, 2018, 2018, 2024, 2018]",2680.89
2773,"[2018, 2026, 2024, 2026, 2024]",3222.42
2774,"[2025, 2026, 2019, 2018, 2023]",3940.92
2775,"[2023, 2026, 2023, 2019, 2026]",3194.26
2776,"[2019, 2023, 2019, 2024, 2026]",2552.71
2777,"[2018, 2019, 2019, 2025, 2018]",2566.79
2778,"[2025, 2026, 2023, 2025, 2025]",2565.65
2779,"[2019, 2025, 2019, 2018, 2026]",2194.94
2780,"[2019, 2023, 2018, 2019, 2025]",2447.94
2781,"[2018, 2023, 2023, 2025, 2018]",3109.47
2782,"[2026, 2023, 2023, 2026, 2018]",3893.47
2783,"[2026, 2019, 2019, 2018, 2019]",2989.15
2784,"[2019, 2026, 2026, 2024, 2026]",2811.03
2785,"[2019, 2025, 2025, 2023, 2023]",3594.35
2786,"[2024, 2024, 2024, 2026, 2024]",3004.45
2787,"[2019, 2023, 2024, 2018, 2024]",3063.18
2788,"[2026, 2024, 2019, 2023, 2026]",2835.79
2789,"[2024, 2025, 2024, 2025, 2024]",2703.77
2790,"[2023, 2023, 2025, 2025, 2026]",2817.7
2791,"[2026, 2023, 2018, 2024, 2019]",3363.89
2792,"[2023, 2018, 2018, 2024, 2025]",2522.24
2793,"[2024, 2023, 2026, 2026, 2025]",2864.55
2794,"[2023, 2023, 2018, 2025, 2023]",4564.85
2795,"[2026, 2025, 2023, 2024, 2023]",4498.29
2796,"[2019, 2023, 2019, 2018, 2026]",2527.74
2797,"[2019, 2023, 2023, 2023, 2025]",2791.68
2798,"[2023, 2023, 2026, 2023, 2019]",3748.54
2799,"[2026, 2024, 2026, 2026, 2018]",3573.57
2800,"[2023, 2026, 2019, 2026, 2023]",4930.51
2801,"[2023, 2026, 2023, 2024, 2019]",3635.82
2802,"[2024, 2024, 2023, 2026, 2026]",2683.12
2803,"[2026, 2018, 2019, 2024, 2023]",4245.38
2804,"[2024, 2025, 2025, 2019, 2024]",2641.91
2805,"[2024, 2026, 2023, 2026, 2018]",3449.72
2806,"[2018, 2018, 2025, 2026, 2023]",3646.34
2807,"[2026, 2024, 2025, 2026, 2026]",2766.56
2808,"[2024, 2026, 2019, 2018, 2023]",4194.57
2809,"[2018, 2024, 2023, 2018, 2026]",2479.16
2810,"[2023, 2023, 2026, 2025, 2023]",5006.17
2811,"[2018, 2023, 2019, 2018, 2024]",2993.68
2812,"[2018, 2025, 2019, 2024, 2018]",2543.35
2813,"[2025, 2018, 2024, 2018, 2019]",2477.54
2814,"[2024, 2026, 2018, 2024, 2025]",2558.75
2815,"[2025, 2024, 2019, 2025, 2018]",2546.09
2816,"[2024, 2025, 2018, 2018, 2024]",2680.54
2817,"[2018, 2026, 2026, 2018, 2024]",3306.72
2818,"[2019, 2019, 2025, 2018, 2026]",2213.11
2819,"[2025, 2025, 2018, 2023, 2025]",2146.21
2820,"[2018, 2023, 2024, 2018, 2019]",2868.06
2821,"[2025, 2019, 2019, 2026, 2018]",2638.96
2822,"[2018, 2024, 2026, 2018, 2025]",2414.7
2823,"[2026, 2026, 2019, 2018, 2026]",2994.49
2824,"[2018, 2023, 2023, 2019, 2024]",3249.83
2825,"[2019, 2026, 2023, 2026, 2023]",4646.86
2826,"[2025, 2026, 2026, 2025, 2019]",3002.64
2827,"[2024, 2018, 2019, 2025, 2026]",2280.46
2828,"[2019, 2024, 2019, 2026, 2023]",3856.91
2829,"[2025, 2024, 2018, 2019, 2025]",2152.09
2830,"[2025, 2019, 2018, 2026, 2026]",2268.52
2831,"[2023, 2026, 2018, 2019, 2026]",2932.16
2832,"[2026, 2026, 2019, 2024, 2019]",3420.2
2833,"[2025, 2019, 2025, 2019, 2026]",2136.54
2834,"[2019, 2019, 2025, 2026, 2018]",2681.86
2835,"[2025, 2023, 2024, 2026, 2018]",2992.96
2836,"[2023, 2023, 2023, 2018, 2024]",3761.94
2837,"[2019, 2019, 2024, 2019, 2024]",2745.33
2838,"[2023, 2026, 2018, 2024, 2024]",3536.69
2839,"[2023, 2018, 2024, 2018, 2019]",2956.78
2840,"[2018, 2026, 2019, 2025, 2026]",2506.87
2841,"[2024, 2025, 2018, 2024, 2018]",2620.94
2842,"[2026, 2024, 2024, 2025, 2023]",4339.86
2843,"[2026, 2019, 2024, 2025, 2025]",2577.43
2844,"[2026, 2025, 2026, 2025, 2019]",3132.28
2845,"[2018, 2019, 2019, 2024, 2024]",2704.47
2846,"[2026, 2026, 2023, 2025, 2018]",3729.83
2847,"[2025, 2023, 2025, 2023, 2024]",2990.37
2848,"[2023, 2026, 2018, 2026, 2024]",3668.24
2849,"[2024, 2023, 2018, 2024, 2023]",4153.91
2850,"[2018, 2025, 2024, 2023, 2018]",2679.86
2851,"[2018, 2019, 2019, 2026, 2024]",2804.42
2852,"[2025, 2024, 2018, 2026, 2018]",2681.35
2853,"[2019, 2024, 2023, 2024, 2025]",2451.1
2854,"[2019, 2026, 2019, 2023, 2026]",2683.31
2855,"[2025, 2018, 2026, 2025, 2023]",3732.41
2856,"[2018, 2024, 2023, 2023, 2026]",2601.79
2857,"[2019, 2025, 2018, 2018, 2025]",2121.55
2858,"[2023, 2025, 2019, 2026, 2023]",4221.79
2859,"[2018, 2025, 2018, 2026, 2025]",2199.75
2860,"[2023, 2026, 2024, 2023, 2018]",3623.88
2861,"[2018, 2019, 2026, 2018, 2023]",3900.13
2862,"[2018, 2025, 2024, 2025, 2024]",2612.49
2863,"[2023, 2023, 2024, 2026, 2019]",3482.23
2864,"[2025, 2025, 2023, 2018, 2023]",3654.59
2865,"[2025, 2019, 2019, 2024, 2019]",2482.63
2866,"[2025, 2025, 2025, 2023, 2026]",2174.21
2867,"[2024, 2024, 2019, 2018, 2025]",2296.83
2868,"[2026, 2023, 2026, 2024, 2019]",3682.21
2869,"[2018, 2019, 2026, 2024, 2018]",2853.24
2870,"[2018, 2025, 2024, 2025, 2019]",2466.7
2871,"[2023, 2026, 2019, 2024, 2018]",3438.15
2872,"[2018, 2025, 2023, 2018, 2025]",2290.56
2873,"[2024, 2026, 2025, 2026, 2018]",3115.79
2874,"[2019, 2025, 2019, 2026, 2025]",2227.69
2875,"[2024, 2026, 2019, 2023, 2026]",2753.3
2876,"[2026, 2018, 2025, 2024, 2024]",3111.77
2877,"[2018, 2025, 2018, 2024, 2024]",2615.78
2878,"[2023, 2026, 2025, 2019, 2023]",4613.27
2879,"[2025, 2026, 2024, 2025, 2025]",2398.59
2880,"[2023, 2023, 2025, 2018, 2018]",3293.22
2881,"[2018, 2023, 2018, 2018, 2019]",2815.51
2882,"[2026, 2025, 2018, 2019, 2025]",2487.0
2883,"[2025, 2019, 2024, 2025, 2019]",2468.56
2884,"[2024, 2025, 2025, 2019, 2026]",2209.36
2885,"[2019, 2023, 2018, 2019, 2025]",2447.94
2886,"[2026, 2019, 2019, 2019, 2026]",2650.96
2887,"[2019, 2019, 2025, 2018, 2025]",2147.92
2888,"[2024, 2024, 2025, 2018, 2026]",2317.22
2889,"[2019, 2019, 2019, 2025, 2025]",2170.67
2890,"[2023, 2026, 2024, 2024, 2023]",4814.46
2891,"[2025, 2025, 2023, 2025, 2023]",3620.62
2892,"[2026, 2025, 2025, 2018, 2025]",2440.3
2893,"[2019, 2025, 2025, 2023, 2023]",3594.35
2894,"[2019, 2024, 2023, 2026, 2019]",2952.79
2895,"[2025, 2023, 2018, 2025, 2019]",2709.77
2896,"[2019, 2025, 2025, 2023, 2023]",3594.35
2897,"[2026, 2025, 2019, 2024, 2023]",4151.99
2898,"[2018, 2023, 2019, 2019, 2019]",2832.91
2899,"[2019, 2023, 2026, 2019, 2018]",3191.77
2900,"[2025, 2026, 2019, 2026, 2023]",4135.45
2901,"[2026, 2024, 2023, 2026, 2018]",3552.25
2902,"[2024, 2018, 2023, 2018, 2025]",2425.03
2903,"[2026, 2018, 2019, 2019, 2023]",4212.29
2904,"[2018, 2026, 2024, 2018, 2023]",4110.33
2905,"[2018, 2025, 2023, 2019, 2025]",2294.71
2906,"[2018, 2019, 2024, 2025, 2024]",2689.49
2907,"[2025, 2026, 2024, 2026, 2019]",2956.39
2908,"[2019, 2026, 2023, 2023, 2019]",3285.44
2909,"[2019, 2018, 2023, 2026, 2019]",2874.77
2910,"[2024, 2026, 2026, 2026, 2024]",3587.11
2911,"[2019, 2018, 2023, 2024, 2026]",2458.72
2912,"[2023, 2019, 2018, 2026, 2024]",3239.07
2913,"[2019, 2025, 2018, 2025, 2023]",3452.5
2914,"[2023, 2024, 2023, 2018, 2026]",2876.1
2915,"[2023, 2023, 2026, 2023, 2018]",3843.18
2916,"[2026, 2019, 2019, 2025, 2026]",2618.34
2917,"[2025, 2025, 2018, 2023, 2024]",2640.98
2918,"[2019, 2024, 2019, 2018, 2026]",2306.29
2919,"[2018, 2019, 2018, 2025, 2024]",2640.04
2920,"[2026, 2023, 2018, 2019, 2025]",2867.82
2921,"[2024, 2023, 2019, 2018, 2024]",3098.58
2922,"[2018, 2026, 2025, 2024, 2023]",4009.28
2923,"[2018, 2025, 2026, 2026, 2026]",2478.48
2924,"[2018, 2018, 2025, 2018, 2026]",2180.62
2925,"[2025, 2024, 2026, 2024, 2024]",2924.6
2926,"[2026, 2018, 2024, 2026, 2026]",2790.72
2927,"[2023, 2023, 2019, 2025, 2024]",3438.15
2928,"[2026, 2024, 2025, 2026, 2018]",3208.71
2929,"[2018, 2024, 2018, 2023, 2023]",3801.79
2930,"[2018, 2018, 2018, 2018, 2025]",2152.61
2931,"[2023, 2025, 2024, 2023, 2023]",4277.77
2932,"[2024, 2019, 2026, 2019, 2026]",2528.51
2933,"[2024, 2026, 2019, 2019, 2024]",3144.51
2934,"[2018, 2026, 2026, 2019, 2026]",2764.22
2935,"[2023, 2023, 2024, 2025, 2025]",2832.94
2936,"[2019, 2023, 2024, 2023, 2025]",2612.51
2937,"[2026, 2019, 2024, 2018, 2024]",3212.57
2938,"[2025, 2019, 2026, 2025, 2025]",2275.65
2939,"[2023, 2019, 2023, 2018, 2023]",4485.16
2940,"[2019, 2019, 2025, 2025, 2019]",2472.95
2941,"[2026, 2026, 2024, 2018, 2025]",2947.55
2942,"[2023, 2018, 2024, 2026, 2024]",3278.28
2943,"[2023, 2018, 2023, 2026, 2024]",3501.2
2944,"[2026, 2023, 2025, 2019, 2018]",3365.35
2945,"[2024, 2026, 2026, 2025, 2019]",3196.4
2946,"[2018, 2024, 2018, 2026, 2023]",3805.82
2947,"[2024, 2025, 2026, 2023, 2019]",2907.03
2948,"[2018, 2018, 2024, 2025, 2025]",2169.68
2949,"[2026, 2018, 2018, 2024, 2024]",3163.74
2950,"[2023, 2024, 2025, 2018, 2018]",3005.9
2951,"[2026, 2026, 2019, 2024, 2019]",3420.2
2952,"[2026, 2024, 2018, 2026, 2026]",2813.72
2953,"[2023, 2024, 2019, 2025, 2018]",3038.39
2954,"[2018, 2019, 2024, 2023, 2023]",3796.21
2955,"[2024, 2026, 2026, 2023, 2024]",3592.72
2956,"[2018, 2019, 2018, 2018, 2026]",2231.78
2957,"[2019, 2023, 2024, 2018, 2025]",2488.87
2958,"[2025, 2024, 2019, 2023, 2018]",2697.99
2959,"[2018, 2025, 2025, 2018, 2025]",2068.39
2960,"[2026, 2026, 2023, 2025, 2018]",3729.83
2961,"[2025, 2026, 2026, 2018, 2018]",3111.44
2962,"[2019, 2019, 2025, 2026, 2025]",2246.15
2963,"[2019, 2018, 2023, 2018, 2026]",2434.71
2964,"[2026, 2025, 2026, 2018, 2019]",3164.61
2965,"[2024, 2025, 2025, 2025, 2023]",3486.36
2966,"[2024, 2019, 2024, 2023, 2025]",2397.0
2967,"[2018, 2026, 2024, 2018, 2024]",3075.94
2968,"[2026, 2026, 2024, 2025, 2018]",3487.82
2969,"[2025, 2026, 2026, 2026, 2024]",3369.9
2970,"[2018, 2024, 2023, 2024, 2018]",2895.32
2971,"[2018, 2025, 2025, 2025, 2025]",2046.7
2972,"[2025, 2023, 2018, 2026, 2018]",2937.91
2973,"[2023, 2026, 2023, 2019, 2018]",3698.32
2974,"[2023, 2019, 2019, 2026, 2024]",3253.09
2975,"[2025, 2026, 2023, 2026, 2026]",2795.54
2976,"[2025, 2024, 2024, 2018, 2019]",2544.62
2977,"[2025, 2026, 2018, 2025, 2023]",3886.47
2978,"[2024, 2019, 2024, 2018, 2023]",3750.04
2979,"[2018, 2026, 2018, 2018, 2024]",3018.92
2980,"[2025, 2026, 2026, 2025, 2023]",4265.6
2981,"[2018, 2023, 2019, 2024, 2018]",2927.29
2982,"[2025, 2018, 2024, 2023, 2023]",3667.21
2983,"[2025, 2018, 2024, 2026, 2026]",2296.12
2984,"[2024, 2018, 2019, 2023, 2018]",2796.52
2985,"[2025, 2018, 2018, 2026, 2023]",3602.91
2986,"[2024, 2025, 2023, 2019, 2019]",2760.67
2987,"[2023, 2025, 2024, 2023, 2018]",3108.72
2988,"[2019, 2024, 2023, 2026, 2018]",3027.6
2989,"[2019, 2023, 2023, 2019, 2026]",2745.13
2990,"[2025, 2025, 2023, 2026, 2018]",2777.98
2991,"[2018, 2026, 2026, 2018, 2024]",3306.72
2992,"[2025, 2026, 2019, 2024, 2019]",2810.34
2993,"[2024, 2024, 2019, 2024, 2025]",2319.55
2994,"[2026, 2025, 2019, 2023, 2024]",3226.92
2995,"[2018, 2019, 2024, 2025, 2024]",2689.49
2996,"[2019, 2026, 2025, 2025, 2019]",2798.13
2997,"[2023, 2023, 2026, 2026, 2024]",3963.56
2998,"[2025, 2024, 2018, 2025, 2019]",2472.74
2999,"[2019, 2025, 2025, 2018, 2025]",2085.86
3000,"[2026, 2019, 2026, 2026, 2019]",3413.61
3001,"[2025, 2026, 2024, 2025, 2023]",3960.4
3002,"[2023, 2025, 2019, 2026, 2019]",2983.16
3003,"[2023, 2019, 2024, 2019, 2025]",2564.75
3004,"[2019, 2025, 2025, 2024, 2025]",2106.55
3005,"[2023, 2019, 2025, 2024, 2026]",2571.33
3006,"[2026, 2019, 2025, 2024, 2024]",3132.21
3007,"[2025, 2026, 2025, 2026, 2018]",2926.86
3008,"[2024, 2025, 2024, 2024, 2018]",2670.09
3009,"[2023, 2024, 2025, 2025, 2019]",2902.51
3010,"[2018, 2023, 2025, 2019, 2025]",2386.46
3011,"[2025, 2024, 2026, 2018, 2024]",2895.59
3012,"[2024, 2025, 2018, 2026, 2026]",2345.87
3013,"[2023, 2024, 2025, 2025, 2026]",2571.09
3014,"[2026, 2018, 2024, 2023, 2024]",3348.59
3015,"[2024, 2025, 2025, 2026, 2018]",2672.93
3016,"[2026, 2019, 2019, 2024, 2023]",4274.1
3017,"[2019, 2018, 2025, 2018, 2024]",2628.43
3018,"[2018, 2019, 2024, 2019, 2024]",2721.75
3019,"[2024, 2026, 2025, 2026, 2024]",3219.94
3020,"[2018, 2023, 2025, 2026, 2019]",2898.92
3021,"[2024, 2019, 2018, 2025, 2024]",2732.32
3022,"[2018, 2023, 2024, 2025, 2024]",3006.64
3023,"[2025, 2018, 2026, 2025, 2025]",2261.13
3024,"[2019, 2018, 2023, 2024, 2025]",2386.68
3025,"[2018, 2018, 2025, 2025, 2019]",2436.18
3026,"[2019, 2026, 2019, 2019, 2023]",4096.73
3027,"[2018, 2019, 2024, 2023, 2026]",2386.09
3028,"[2024, 2025, 2024, 2024, 2019]",2604.33
3029,"[2018, 2026, 2018, 2018, 2019]",2849.76
3030,"[2025, 2023, 2019, 2025, 2019]",2721.26
3031,"[2026, 2018, 2019, 2018, 2026]",2629.14
3032,"[2025, 2019, 2024, 2026, 2026]",2310.89
3033,"[2025, 2026, 2024, 2019, 2018]",2900.44
3034,"[2019, 2018, 2026, 2026, 2026]",2557.07
3035,"[2026, 2023, 2024, 2025, 2023]",4754.82
3036,"[2023, 2024, 2019, 2026, 2024]",3319.44
3037,"[2024, 2023, 2018, 2019, 2018]",2993.16
3038,"[2024, 2025, 2026, 2018, 2024]",2934.47
3039,"[2018, 2023, 2026, 2018, 2019]",3079.71
3040,"[2026, 2018, 2019, 2026, 2019]",3109.9
3041,"[2019, 2023, 2018, 2024, 2018]",2940.23
3042,"[2026, 2018, 2024, 2019, 2024]",3197.9
3043,"[2019, 2025, 2025, 2018, 2024]",2569.68
3044,"[2023, 2023, 2019, 2023, 2025]",2962.21
3045,"[2026, 2019, 2026, 2024, 2024]",3488.35
3046,"[2026, 2019, 2026, 2023, 2023]",4847.33
3047,"[2019, 2026, 2019, 2024, 2024]",3089.11
3048,"[2026, 2023, 2023, 2024, 2019]",3662.66
3049,"[2025, 2025, 2024, 2023, 2023]",3587.15
3050,"[2024, 2026, 2019, 2018, 2026]",2621.86
3051,"[2018, 2023, 2023, 2024, 2018]",3171.7
3052,"[2026, 2023, 2023, 2019, 2024]",3848.32
3053,"[2025, 2025, 2025, 2019, 2023]",3313.13
3054,"[2026, 2026, 2018, 2026, 2018]",3622.79
3055,"[2026, 2025, 2024, 2023, 2018]",3169.04
3056,"[2023, 2025, 2023, 2024, 2024]",3302.14
